feature,mi_score
parkinson_vol_21d,0.08536644860362497
atr_14_norm,0.08347505360292917
realized_vol_63d,0.07197492635275271
realized_vol_21d,0.052266140631605396
bb_width_20,0.05111152785214923
price_to_sma_200,0.048175862011667014
realized_vol_5d,0.038697488851046735
price_to_sma_50,0.03251822320708442
regime_vol,0.03212658879813013
roc_21,0.032083140737238836
price_to_vwap,0.03201927314215958
curve_slope_3_12m,0.028539315942585297
days_to_eia_norm,0.026486339742831433
month_cos,0.025712674968394023
vol_ratio_21_63,0.025633373746765997
rsi_14_norm,0.024392315564293554
price_to_sma_21,0.023438490962212732
month_sin,0.02086355851415167
roc_5,0.02050262143877024
log_return,0.018494969134422945
obv_signal,0.018268938831309534
days_to_fomc_norm,0.015223975434665249
vol_ratio_5_21,0.014235822606429416
price_position_63,0.013935483025668383
regime_momentum,0.01360680855010532
vol_surprise,0.011779238668029102
days_to_opec_norm,0.011530193557171664
event_pressure,0.010406520503510208
roll_period,0.01016389096920367
avg_cross_corr_63d,0.00973109980024578
macd_diff,0.008637806730757092
regime_curve,0.008541686408234384
eia_report_day,0.00587555422889352
carry_signal_21d,0.005830219221160782
bb_pct_20,0.004806569854903131
rel_volume_5,0.002087857368760382
cmf,0.0013360586092101556
curve_slope_1_3m,0.0012044448400052588
regime_trend,0.0006537744892707309
close_position,0.0
rel_volume_21,0.0
pv_corr_10,0.0
avg_cross_corr_21d,0.0
quarter_cos,0.0
quarter_sin,0.0
fomc_meeting_week,0.0
opec_meeting_week,0.0
